label,qid,preferred_label,score,match_info,instance_of_qids,instance_of_labels,part_of_qids,part_of_labels,facet_assignment
Abkhazia,Q31354462,Republic of Abkhazia,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Abkhazia'}",Q10711424,state with limited recognition,,,,"political"
Abyssinia,Q207521,Ethiopian Empire,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Abyssinia'}",Q3024240,historical country,,,,"political"
Africa,Q15,Africa,1,"{'type': 'label', 'language': 'en', 'text': 'Africa'}","Q2221906,Q5107,Q82794","continent,geographic location,region",,,"pure_spatial"
Al-Ain,Q234600,Al Ain,0.8,"{'type': 'label', 'language': 'en', 'text': 'Al Ain'}","Q1549591,Q486972,Q515,Q902814","big city,border city,city,human settlement",,,"political"
Altai region,Q60169103,Altai,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Altai region'}",Q82794,region,,,,"pure_spatial"
Ancient Egypt,Q11768,Ancient Egypt,1,"{'type': 'label', 'language': 'en', 'text': 'Ancient Egypt'}","Q1620908,Q28171280,Q3024240,Q3502482","historical region,cultural landscape,historical country,cultural region",,,"cultural_geographic"
Ancient Greece,Q11772,Ancient Greece,1,"{'type': 'label', 'language': 'en', 'text': 'Ancient Greece'}","Q11042,Q11514315,Q1620908,Q1792644,Q28171280,Q3502482","culture,historical period,historical region,cultural region,cultural landscape,cultural region",,,"cultural_geographic"
Ancient Mesopotamia,Q11767,Mesopotamia,0.95,"{'type': 'alias', 'language': 'en', 'text': 'ancient Mesopotamia'}","Q1129474,Q1620908,Q28171280,Q3502482","cultural landscape,historical region,cultural landscape,cultural region",,,"cultural_geographic"
Balkan Peninsula,Q23522,Balkans,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Balkan peninsula'}","Q1620908,Q34763,Q3502482,Q82794","historical region,peninsula,cultural region,region",,,"cultural_geographic"
Bering Strait,Q11769,Bering Strait,1,"{'type': 'label', 'language': 'en', 'text': 'Bering Strait'}",Q37901,strait,,,,"pure_spatial"
Basque Country,Q47588,Basque Country,1,"{'type': 'label', 'language': 'en', 'text': 'Basque Country'}","Q1151616,Q3502482","stateless nation,cultural region",,,"cultural_geographic"
Barcelona,Q1492,Barcelona,1,"{'type': 'label', 'language': 'en', 'text': 'Barcelona'}","Q33146843,Q515","city,municipality of Catalonia",,,"political"
Banat,Q170143,Banat,1,"{'type': 'label', 'language': 'en', 'text': 'Banat'}",Q1620908,historical region,,,,"cultural_geographic"
British Isles,Q38272,British Isles,1,"{'type': 'label', 'language': 'en', 'text': 'British Isles'}","Q1402592,Q33837","island group,archipelago",,,"pure_spatial"
Campia Tisei,Q83857,Great Hungarian Plain,0.8,"{'type': 'alias', 'language': 'nn', 'text': 'Câmpia Tisei'}","Q12018175,Q160091,Q82794","geomorphological subprovince,plain,region",,,"pure_spatial"
Caucasus,Q18869,Caucasus,1,"{'type': 'label', 'language': 'en', 'text': 'Caucasus'}","Q3502482,Q82794","cultural region,region",,,"cultural_geographic"
Central Asia,Q27275,Central Asia,1,"{'type': 'label', 'language': 'en', 'text': 'Central Asia'}","Q3502482,Q82794","cultural region,region",,,"cultural_geographic"
Constanța County,Q188505,Constanța County,1,"{'type': 'label', 'language': 'en', 'text': 'Constanța County'}",Q1776764,county of Romania,,,,"political"
Crișana,Q268034,Crișana,1,"{'type': 'label', 'language': 'en', 'text': 'Crișana'}","Q1620908,Q82794","historical region,region",,,"cultural_geographic"
Cyclades,Q171132,Cyclades,1,"{'type': 'label', 'language': 'en', 'text': 'Cyclades'}",Q33837,archipelago,,,,"pure_spatial"