relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,score,confidence,query_used,match_type,review_status
DERIVED_FROM,Application,Material extracted or derived from source organism,1,P5191,derived from lexeme,most direct lexeme(s) this one has developed from,0.602,low,derived from,label,pending_review
DERIVED_FROM,Application,Material extracted or derived from source organism,2,P12571,derived from base unit,the base unit(s) that this derived unit is derived from,0.572,low,derived from,label,pending_review
DERIVED_FROM,Application,Material extracted or derived from source organism,3,P9072,derived from organism type,the taxon that the organism from which the subject cell line was derived belonged to (different from found in taxon (P703) because cell lines are derived only once from a single individual),0.487,low,derived from,label,pending_review
ANALYZES,Attribution,Citation provides analysis of entity,1,P3176,uses property,"Wikidata property used, discussed, or otherwise analyzed in this work (not the meaning of the property itself)",0.115,low,analyzes,alias,pending_review
ATTRIBUTED_TO,Attribution,Citation attributed to author,1,P1779,possible creator,for a creative work with considerable uncertainty about the author,0.132,low,attributed,alias,pending_review
DESCRIBES,Attribution,Citation describes entity/event,1,P12027,describes actor of,predicate sense whose actor (an agent or a cause—basically the instigator of an action) is denoted by this sense,0.489,low,describes,label,pending_review
DESCRIBES,Attribution,Citation describes entity/event,2,P12028,describes undergoer of,"predicate sense whose undergoer (a patient, a theme, or a recipient—basically a non-instigator of an action) is denoted by this sense",0.441,low,describes,label,pending_review
DESCRIBES,Attribution,Citation describes entity/event,3,P4510,describes a project that uses,essential component or tool that was used in this project,0.392,low,describes,label,pending_review
EXTRACTED_FROM,Attribution,Citation extracted from work,1,P7009,extracted from,source this image was cropped from. Use on Wikimedia Commons only.,0.720,medium,extracted from,label,pending_review
QUOTES,Attribution,Citation is direct quote from source,1,P6166,quotes work,"other creative work which this work quotes from textually, verbally or lyrically",0.523,low,quotes,label,pending_review
QUOTES,Attribution,Citation is direct quote from source,2,P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'",0.169,low,quotes,alias,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,1,P88,commissioned by,person or organization that commissioned this work,0.660,medium,commissioned,label,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,2,P9883,created for,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)",0.152,low,commissioned,alias,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,3,P729,service entry,date or point in time on which a piece or class of equipment entered operational service,0.099,low,commissioned,alias,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,1,P88,commissioned by,person or organization that commissioned this work,0.787,medium,commissioned by,label,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,2,P9883,created for,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)",0.169,low,commissioned,alias,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,3,P729,service entry,date or point in time on which a piece or class of equipment entered operational service,0.107,low,commissioned,alias,pending_review
INFERIOR_TO,Comparative,Type is inferior to another type,1,P5136,less than,"instances of the item have a lesser value than corresponding instances of the object, for the given measure",0.129,low,inferior,alias,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,1,P7604,supervised by,natural person who has the authority of giving instructions and/or orders to subordinates and is held responsible for the work and actions of subordinates,0.345,low,superior,alias,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,2,P749,parent organization or unit,"parent organization or unit of an organization or unit, opposite of child organization or unit (P355); use instance of (P31) to distinguish organization (Q43229) and organization unit (Q10387680)",0.239,low,superior,alias,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,3,P5135,greater than,"instances of the item have a greater value than corresponding instances of the object, for the given measure",0.162,low,superior,alias,pending_review
EVOLVED_FROM,Cultural,Form evolved from another form,1,P3094,develops from,this class of items develops from another class of items (biology),0.420,low,evolved from,alias,pending_review
HERITAGE_OF,Cultural,Earlier polity is claimed heritage of later group,1,P5094,HPIP ID,"identifier of an entity of Portuguese influence, including geographic/toponymic, onomastic, original author, chronological references, etc.",0.206,low,heritage of,alias,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,1,P9448,introduced on,date when a bill was introduced into a legislature,0.628,low,introduced,label,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,2,P10695,introduced in,work that introduced this concept or feature,0.615,low,introduced,label,pending_review
INTRODUCED_BY,Evolution,Type was introduced by event,3,P751,introduced feature,feature introduced by this version of a product item,0.580,low,introduced,label,pending_review
AUNT_OF,Familial,Aunt of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.160,low,aunt,alias,pending_review
BROTHER_IN_LAW,Familial,Person is brother-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.200,low,brother in law,alias,pending_review
BROTHER_IN_LAW_OF,Familial,Brother-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.185,low,brother in law,alias,pending_review
CHILD_OF,Familial,Person is child of parent,1,P40,child,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""kinship to subject"" (P1039)",0.593,low,child,label,pending_review
CHILD_OF,Familial,Person is child of parent,2,P398,child astronomical body,minor body that belongs to the item,0.370,low,child,label,pending_review
CHILD_OF,Familial,Person is child of parent,3,P355,child organization or unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)",0.345,low,child,label,pending_review
COUSIN_OF,Familial,Person is cousin,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.070,low,cousin,alias,pending_review
DAUGHTER_IN_LAW,Familial,Person is daughter-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.143,low,daughter in law,alias,pending_review
DAUGHTER_IN_LAW_OF,Familial,Daughter-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.133,low,daughter in law,alias,pending_review
FATHER_IN_LAW,Familial,Person is father-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.157,low,father in law,alias,pending_review
FATHER_IN_LAW_OF,Familial,Father-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.145,low,father in law,alias,pending_review
GRANDCHILD_OF,Familial,Grandchild of grandparent,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.167,low,grandchild,alias,pending_review
GRANDPARENT_OF,Familial,Grandparent of grandchild,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.159,low,grandparent,alias,pending_review
MOTHER_IN_LAW,Familial,Person is mother-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.157,low,mother in law,alias,pending_review
MOTHER_IN_LAW_OF,Familial,Mother-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.145,low,mother in law,alias,pending_review
SISTER_IN_LAW,Familial,Person is sister-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.157,low,sister in law,alias,pending_review
SISTER_IN_LAW_OF,Familial,Sister-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.145,low,sister in law,alias,pending_review
SON_IN_LAW,Familial,Person is son-in-law,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.122,low,son in law,alias,pending_review
SON_IN_LAW_OF,Familial,Son-in-law of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.111,low,son in law,alias,pending_review
STEPCHILD_OF,Familial,Person is stepchild of stepparent,1,P3448,stepparent,subject has the object as their stepparent,0.230,low,stepchild,alias,pending_review
STEPCHILD_OF,Familial,Person is stepchild of stepparent,2,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.117,low,stepchild,alias,pending_review
STEPPARENT_OF,Familial,Stepparent of stepchild,1,P3448,stepparent,subject has the object as their stepparent,0.658,medium,stepparent,label,pending_review
UNCLE_OF,Familial,Uncle of person,1,P1038,relative,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)",0.149,low,uncle,alias,pending_review
DESIGNED_FOR,Functional,Purpose for which type was designed,1,P13783,‎designed for handedness,hand(s) that this object is intended to be used with,0.535,low,designed for,label,pending_review
DESIGNED_FOR,Functional,Purpose for which type was designed,2,P3712,has goal,desired result or outcome,0.165,low,designed for,alias,pending_review
DESIGNED_FOR,Functional,Purpose for which type was designed,3,P2360,intended public,"intended audience or user of this work, product, object, or event",0.163,low,designed for,alias,pending_review
LOCATION_OF,Geographic,Place is location of entity,1,P276,location,"location of the object, structure or event; use P131 to indicate the containing administrative entity, P8138 for statistical entities, or P706 for geographic entities; use P7153 for locations associated with the object",0.639,low,location,label,pending_review
LOCATION_OF,Geographic,Place is location of entity,2,P1071,location of creation,"place where the item was conceived or made; where applicable, location of final assembly",0.564,low,location of,label,pending_review
LOCATION_OF,Geographic,Place is location of entity,3,P937,work location,"location where persons or organisations were actively participating in employment, business or other work",0.415,low,location,alias,pending_review
DECORATED_WITH,Honorific,Person decorated with award,1,P5422,has pattern,"pattern, design, or motif intrinsic to, incorporated into, or applied to the surface of the subject",0.132,low,decorated with,alias,pending_review
DECORATION_OF,Honorific,Decoration was awarded to person,1,P166,award received,"award or recognition received by a person, organization or creative work",0.185,low,decoration,alias,pending_review
CHARGED_WITH,Legal,Person was charged with crime,1,P1595,charge,"offence with which someone is charged, at a trial",0.447,low,charged with,alias,pending_review
EXECUTED,Legal,Entity executed individual/small group,1,P4361,ExecutedToday ID,"identifier for a person or group of individuals, in the ExecutedToday database",0.478,low,executed,label,pending_review
EXECUTED,Legal,Entity executed individual/small group,2,P8031,perpetrator,"person or organization who carried out this harmful, illegal, or immoral act",0.174,low,executed,alias,pending_review
EXECUTED,Legal,Entity executed individual/small group,3,P4815,Technical Element Score,for figure skating scores breakdown,0.142,low,executed,alias,pending_review
EXECUTED_BY,Legal,Individual was executed by entity,1,P4361,ExecutedToday ID,"identifier for a person or group of individuals, in the ExecutedToday database",0.467,low,executed,label,pending_review
EXECUTED_BY,Legal,Individual was executed by entity,2,P157,killed by,person or organization who killed the subject,0.319,low,executed by,alias,pending_review
EXECUTED_BY,Legal,Individual was executed by entity,3,P8031,perpetrator,"person or organization who carried out this harmful, illegal, or immoral act",0.159,low,executed,alias,pending_review
IMPRISONED_IN,Legal,Person was imprisoned in facility,1,P2632,place of detention,place where this person is or was detained,0.137,low,imprisoned in,alias,pending_review
SENTENCE_OF,Legal,Punishment was sentenced to person,1,P1596,penalty,penalty imposed by an authority,0.197,low,sentence,alias,pending_review
SENTENCE_OF,Legal,Punishment was sentenced to person,2,P5831,usage example,example of how a lexeme (sense) might be used,0.186,low,sentence,alias,pending_review
HAS_INDICATOR,Measurement,Entity has quantified indicator,1,P6563,key performance indicator,measure used to track progress towards a target,0.344,low,indicator,alias,pending_review
INDICATOR_OF,Measurement,Quantified indicator describes entity,1,P6563,key performance indicator,measure used to track progress towards a target,0.311,low,indicator,alias,pending_review
COMMANDED_BY,Military,Was commanded by,1,P4791,commanded by,"commander of a military unit/army/security service, operation, etc.",0.722,medium,commanded by,label,pending_review
RESPONSIBLE_FOR,Moral,Person or regime held responsible for atrocity/policy,1,P101,field of work,specialization of a person or organization; see P106 for the occupation,0.248,low,responsible for,alias,pending_review
GOVERNED,Political,Person governed a place,1,P797,authority,entity having executive power on given entity,0.129,low,governed,alias,pending_review
HAS_TRIBUTARY,Political,Empire had tributary polity,1,P974,tributary,watercourse that flows into an other one (for lake inflows use P200),0.617,low,tributary,label,pending_review
HAS_TRIBUTARY,Political,Empire had tributary polity,2,P3871,tributary orientation,specify if the stream confluence is a left bank or right bank tributary,0.436,low,tributary,label,pending_review
HAS_TRIBUTARY,Political,Empire had tributary polity,3,P403,mouth of the watercourse,the body of water to which the watercourse drains,0.162,low,tributary,alias,pending_review
HEIR_TO,Political,Person's heir was designated,1,P12002,has heir or beneficiary,"people or organizations that received, or will receive, (all or part of) the subject's property or title",0.231,low,heir,alias,pending_review
HEIR_TO,Political,Person's heir was designated,2,P5982,annual number of weddings,number of marriages per year in a location,0.215,low,heir,label,pending_review
HEIR_TO,Political,Person's heir was designated,3,P1366,replaced by,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series).",0.118,low,heir,alias,pending_review
OPPOSED,Political,Person/group opposed another,1,P5004,in opposition to,object of a social action,0.239,low,opposed,alias,pending_review
OPPOSED,Political,Person/group opposed another,2,P1310,statement disputed by,entity that disputes a given statement,0.118,low,opposed,alias,pending_review
TRIBUTARY_OF,Political,Polity paid tribute to empire,1,P974,tributary,watercourse that flows into an other one (for lake inflows use P200),0.618,low,tributary,label,pending_review
TRIBUTARY_OF,Political,Polity paid tribute to empire,2,P3871,tributary orientation,specify if the stream confluence is a left bank or right bank tributary,0.471,low,tributary,label,pending_review
TRIBUTARY_OF,Political,Polity paid tribute to empire,3,P403,mouth of the watercourse,the body of water to which the watercourse drains,0.193,low,tributary of,alias,pending_review
COMMANDED,Position,Commanded forces,1,P4791,commanded by,"commander of a military unit/army/security service, operation, etc.",0.608,low,commanded,label,pending_review
RESIGNATION_OF,Position,Resignation from office by person,1,P9667,date of resignation,"date of official resignation of the head of a government in parliamentary-based states, triggering the government to stay in place until the formation of a new executive",0.413,low,resignation,alias,pending_review
ALLY_OF,Relations,Was ally of,1,P945,allegiance,country (or other power) that the person or group serves,0.209,low,ally,alias,pending_review
ALLY_OF_BY,Relations,Had ally,1,P945,allegiance,country (or other power) that the person or group serves,0.176,low,ally of,alias,pending_review
ENEMY_OF,Relations,Was enemy of,1,P7047,enemy,opponent character or group of this fictive character or group,0.676,medium,enemy,label,pending_review
ENEMY_OF,Relations,Was enemy of,2,P1345,number of victims of killer,"people killed by the subject, both legal and illegal",0.136,low,enemy,alias,pending_review
INFLUENCED,Relations,Influenced entity/person,1,P737,influenced by,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle""",0.628,low,influenced,label,pending_review
INFLUENCED_BY,Relations,Was influenced by,1,P737,influenced by,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle""",0.715,medium,influenced by,label,pending_review
RELATED_TO,Relations,Generic social/political relation,1,P7084,related category,Wikimedia category is related to this item,0.562,low,related,label,pending_review
RELATED_TO,Relations,Generic social/political relation,2,P1659,related property,used to indicate another property that might provide additional information about the subject,0.500,low,related,label,pending_review
RELATED_TO,Relations,Generic social/political relation,3,P6802,related image,"less fitting image, used only because a better alternative is not available. If an appropriate image of the item is available, use P18 instead. Value should not be a generic placeholder",0.499,low,related,label,pending_review
GOD_OF,Religious,Deity is god of domain,1,P1290,godparent,person who is the godparent of a given person,0.404,low,god,label,pending_review
GOD_OF,Religious,Deity is god of domain,2,P790,approved by,item is approved by other item(s) [qualifier: statement is approved by other item(s)],0.297,low,god,label,pending_review
GOD_OF,Religious,Deity is god of domain,3,P2925,domain of saint or deity,domain(s) which this saint or deity controls or protects,0.219,low,god of,alias,pending_review
CLIENT_OF,Social,Client to patron,1,P8956,compatible with,"this work, product, object or standard can interact with another work, product, object or standard",0.193,low,client,alias,pending_review
CLIENT_OF,Social,Client to patron,2,P3872,patronage,"number of passengers, patrons or visitors in specified time period",0.186,low,client,label,pending_review
CLIENT_OF,Social,Client to patron,3,P88,commissioned by,person or organization that commissioned this work,0.174,low,client,alias,pending_review
FREED_BY,Social,Manumission,1,P10214,freedom of information requests URL,URL pointing to a form or other page allowing citizens to make freedom of information request to public organizations,0.248,low,freed,label,pending_review
FREED_BY,Social,Manumission,2,P6136,Freedom Forum newspaper front page ID,identifier for a newspaper in the Newseum's front page gallery,0.241,low,freed,label,pending_review
FREED_BY,Social,Manumission,3,P8401,TheFreeDictionary medical term ID,identifier for a term in the medical-dictionary of TheFreeDictionary by Farlex Inc.,0.172,low,freed,alias,pending_review
OWNED,Social,Ownership of slaves,1,P127,owned by,owner of the subject,0.590,low,owned,label,pending_review
OWNED,Social,Ownership of slaves,2,P11812,afterward owned by,"person or institution that owned the subject after stated event. Meant to be used as qualifier of “significant event (P793)” for events like sales, auctions, gifts, etc",0.255,low,owned,alias,pending_review
OWNED,Social,Ownership of slaves,3,P11811,beforehand owned by,"person or institution that owned the subject just before stated event. Meant to be used as qualifier of ""significant event (P793)"" for events like sales, auctions, gifts, etc",0.244,low,owned,alias,pending_review
PATRON_OF,Social,Patron-client relationship,1,P417,patron saint,patron saint adopted by the subject,0.527,low,patron,label,pending_review
PATRON_OF,Social,Patron-client relationship,2,P3872,patronage,"number of passengers, patrons or visitors in specified time period",0.514,low,patron,label,pending_review
PATRON_OF,Social,Patron-client relationship,3,P4891,Patrons de France ID,identifier of a business executive on Patrons de France,0.408,low,patron,label,pending_review
WEARS,Social,Person wears clothing or garment,1,P3828,wears,clothing or accessory worn on subject's body,0.732,medium,wears,label,pending_review
WORN_BY,Social,Garment is worn by person,1,P7376,worn by,person who wears or wore a garment or object,0.773,medium,worn by,label,pending_review
WORN_BY,Social,Garment is worn by person,2,P13633,‎worn on,part of the body where an item is worn,0.549,low,worn,label,pending_review
DURING,Temporal,Event occurred during period,1,P585,point in time,"date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)",0.116,low,during,alias,pending_review
OVERLAPS_WITH,Temporal,Periods overlap temporally,1,P1382,partially coincident with,"object that partially overlaps with the subject in its instances, parts, or members",0.238,low,overlaps with,alias,pending_review
IMPORTED_FROM,Trade,Imported goods from,1,P143,imported from Wikimedia project,source of this claim's value; used in references section by bots or humans importing data from Wikimedia projects,0.467,low,imported from,label,pending_review
ALTERNATIVE_TO,Typological,Alternative/equivalent to another type,1,P8530,alternative form,link to spelling variant between two or more forms,0.640,low,alternative,label,pending_review
ALTERNATIVE_TO,Typological,Alternative/equivalent to another type,2,P4970,alternative name,"qualifier for alternative name(s), given for a subject in a database entry, or preserved in references (even these are no longer the preferred name)",0.562,low,alternative,label,pending_review
ALTERNATIVE_TO,Typological,Alternative/equivalent to another type,3,P9618,AlternativeTo software ID,identifier used in the crowdsourced software recommendation website AlternativeTo.net,0.456,low,alternative,label,pending_review
HAS_VARIANT,Typological,Has variant or subtype,1,P3433,biological variant of,"a variant of a physical biological entity (e.g., gene sequence, protein sequence, epigenetic mark)",0.427,low,variant,label,pending_review
HAS_VARIANT,Typological,Has variant or subtype,2,P5237,pronunciation variety,"qualifier for IPA transcription (P898), pronunciation audio (P443) or spoken text audio (P989) to indicate the associated spoken language variant",0.356,low,variant,label,pending_review
HAS_VARIANT,Typological,Has variant or subtype,3,P5475,CJKV variant character,equivalent form of this CJKV ideographic character used in different regions or writing systems over time,0.301,low,variant,alias,pending_review
VARIANT_OF,Typological,Is variant or subtype of,1,P3433,biological variant of,"a variant of a physical biological entity (e.g., gene sequence, protein sequence, epigenetic mark)",0.489,low,variant,label,pending_review
VARIANT_OF,Typological,Is variant or subtype of,2,P7481,"variety of lexeme, form or sense","dialect, graphic or phonetic variety that this lexeme, form or sense is used in",0.343,low,variant,label,pending_review
VARIANT_OF,Typological,Is variant or subtype of,3,P5475,CJKV variant character,equivalent form of this CJKV ideographic character used in different regions or writing systems over time,0.333,low,variant,alias,pending_review
