subject_qid,subject_label,periodo_id,wikidata_pid,wikidata_pid_label,latitude,longitude,mapping_target,source
Q3641960,Bombing of Rome in World War II,6c6g3pmfn,P625,coordinate location,41.89305556,12.48277778,place_candidate_coordinate,wikidata
Q791313,Bathonian,9qtgwcdrv,P625,coordinate location,43.9606,6.3153,place_candidate_coordinate,wikidata
Q1054850,Bactriaâ€“Margiana Archaeological Complex,8m57hq9gh,P625,coordinate location,37.30111111111111,64.15530555555556,place_candidate_coordinate,wikidata
Q638530,Texas Revolution,6c6g3fdwd,P625,coordinate location,31,-100,place_candidate_coordinate,wikidata
Q123437424,Mithraeum I,mx5nbjmkh,P625,coordinate location,34.7490288049,40.7278076774,place_candidate_coordinate,wikidata
Q15224558,Euromaidan,6c6g3bc6j,P625,coordinate location,50.45025,30.52389,place_candidate_coordinate,wikidata
Q123911600,Late Mithraeum,pkpgkwxn7,P625,coordinate location,34.7500339667,40.7256578859,place_candidate_coordinate,wikidata
Q633834,Hettangian,9qtgwrf75,P625,coordinate location,47.48388888888889,11.530555555555555,place_candidate_coordinate,wikidata
Q300887,Aalenian,9qtgw2x4f,P625,coordinate location,41.07913888888889,-1.8303333333333334,place_candidate_coordinate,wikidata
Q301728,Albian,9qtgw7bg4,P625,coordinate location,44.496605555555554,5.311766666666666,place_candidate_coordinate,wikidata
Q540479,Pliensbachian,9qtgw3hf7,P625,coordinate location,54.4069,-0.4975,place_candidate_coordinate,wikidata
Q911869,Sinemurian,9qtgwgbxh,P625,coordinate location,51.19083333333333,-3.236388888888889,place_candidate_coordinate,wikidata
