place_qid,place_label,source_pids,linked_period_count
Q1060042,South Region,P276,1
Q1060616,Chinaâ€“North Korea border,P706,1
Q114,Kenya,P17,1
Q11767,Mesopotamia,P276,4
Q11772,Ancient Greece,P276,1
Q12560,Ottoman Empire,P17,1
Q128904,Elam,P276,1
Q1372503,Syria Vilayet,P276,1
Q142,France,P17,2
Q145,United Kingdom,P17,4
Q148,People's Republic of China,P17,1
Q159,Russia,P17,1
Q17,Japan,P17,4
Q170588,Republic of Texas,P276,1
Q172702,Karakum Desert,P276,1
Q1747689,Ancient Rome,P276,1
Q179876,Kingdom of England,P17|P276,1
Q18234383,Safavid Iran,P17,1
Q18869,Caucasus,P276,1
Q1899,Kyiv,P131,1
Q212,Ukraine,P131|P17|P276,1
Q21881790,Kuhjoch,P7153,1
Q220,Rome,P131|P276,1
Q227,Azerbaijan,P17,1
Q22890,Ireland,P276,1
Q230,Georgia,P17,1
Q23666,Great Britain,P276,1
Q2411043,East Quantoxhead,P7153,1
Q24658757,Robin Hood's Bay,P7153,1
Q2538511,Kenya Colony,P276,1
Q265,Uzbekistan,P17,1
Q27092,Sea of Japan,P276|P706,1
Q27381,North Africa,P276,1
Q27509,Central Europe,P276,1
Q29,Spain,P17,1
Q30,United States,P17,1
Q35,Denmark,P17|P276,1
Q3558385,Hejaz Vilayet,P276,1
Q37960,Yellow Sea,P706,1
Q38,Italy,P17|P276,2
Q399,Armenia,P17,1
Q399899,Ahal Region,P131,1
Q408,Australia,P276,1
Q41,Greece,P276,1
Q423,North Korea,P17,1
Q46,Europe,P276,2
Q48,Asia,P276,1
Q483134,Korean Peninsula,P276|P706,1
Q49042,Southern United States,P276,1
Q52052,Korea Strait,P276|P706,1
Q79,Egypt,P17,1
Q794,Iran,P17,4
Q83311,Persian Empire,P17,1
Q858,Syria,P17,3
Q861551,Saint-Domingue,P17|P276,1
Q863759,Maidan Nezalezhnosti,P276,1
Q8680,British Empire,P17,1
Q8733,Qing dynasty,P17,1
Q874,Turkmenistan,P276,1
Q884,South Korea,P17,1
Q889,Afghanistan,P276,1
Q941967,Peniche,P7153,1
Q96,Mexico,P17|P276,1
Q986555,Fuentelsaz,P7153,1
