object_qid_label,edge_count,distinct_subject_count
Q11514315 | historical period,15,15
Q1123245 | stage,7,7
Q15401633 | archaeological period,7,7
Q568683 | age,7,7
Q198 | war,4,4
Q465299 | archaeological culture,4,4
Q816829 | periodization,4,4
Q24706 | Japanese era name,3,3
Q4785465 | archaeological phase,3,3
Q10931 | revolution,2,2
Q1151014 | mithraeum,2,2
Q1292119 | style,2,2
Q8465 | civil war,2,2
Q1006311 | war of national liberation,1,1
Q11042 | culture,1,1
Q1155622 | slave rebellion,1,1
Q1168287 | intervention,1,1
Q119328980 | cultural revolution,1,1
Q12184 | pandemic,1,1
Q124734 | rebellion,1,1
Q1323212 | insurgency,1,1
Q1348385 | war of succession,1,1
Q17522177 | age,1,1
Q175331 | demonstration,1,1
Q1827102 | religious war,1,1
Q186081 | time interval,1,1
Q186408 | point in time,1,1
Q188686 | military occupation,1,1
Q21994376 | war of independence,1,1
Q273120 | protest,1,1
Q3119121 | revolutionary war,1,1
Q3241045 | disease outbreak,1,1
Q45382 | coup d'̩tat,1,1
Q5193493 | culture change,1,1
Q6107280 | revolt,1,1
Q686984 | civil disorder,1,1
Q7310094 | reign,1,1
Q839954 | archaeological site,1,1
Q841418 | strategic bombing,1,1
Q8432 | civilization,1,1
Q845538 | Chinese era name,1,1
