child_lcsh_id,parent_lcsh_id
sh85062839,sh85062843
sh85062839,sh85101512
sh85062839,sh85108459
sh85062839,sh85124003
sh85062843,sh85014203
sh85062856,sh85040752
sh85005570,sh85005581
sh85005570,sh85053986
sh85062884,sh85062843
sh85062884,sh85083022
sh85062884,sh85101679
sh85100143,sh85080336
sh85100143,sh85108611
sh85062913,sh85075529
sh88003229,sh85062867
sh85063305,sh85043176
sh85063305,sh85049383
sh85145539,sh85053960
sh85145539,sh85063458
sh85063439,sh85054037
sh85063439,sh85063458
sh85063443,sh85006246
sh85063443,sh85090425
sh85063326,sh85101564
sh85064050,sh85149983
sh85064120,sh85072732
sh85064120,sh85100849
sh99001255,sh99001272
sh86002614,sh85064579
sh85108476,sh85065864
sh85108476,sh85100143
sh85108476,sh85108472
sh85037199,sh85037197
sh85065864,sh85043176
sh97001369,sh85065960
sh85065909,sh85084819
sh87002293,sh85133147
sh87002293,sh89005491
sh85066147,sh85080336
sh2021005721,sh85066147
sh2021005721,sh85107027
sh85066148,sh85038731
sh85066148,sh85066150
sh85066150,sh85029027
sh85066163,sh98003200
sh85066163,sh97001717
sh85023017,sh85022986
sh85066745,sh85040850
sh85067088,sh85052317
sh85067167,sh85067082
sh85062836,sh85025083
sh85067222,sh85029027
sh85067222,sh85034755
sh85067347,sh85083064
sh85029042,sh85029027
sh85067395,sh85040837
sh85067395,sh85067435
sh85067417,sh85075119
sh85119471,sh85067435
sh87004890,sh85028901
sh87004890,sh85067395
sh94007902,sh85029513
sh85068296,sh85002313
sh85068296,sh85063305
sh85069833,sh85001968
sh85069833,sh85088762
sh85070643,sh85020430
sh85070643,sh85148029
sh85070736,sh85077507
sh85070736,sh85108869
sh85070788,sh85009793
sh85071077,sh85029335
sh85071077,sh85075119
sh85071895,sh85081156
sh85073687,sh85040850
sh95006396,sh85090284
sh95006396,sh85145542
sh90002545,sh85040752
sh85074518,sh85005581
sh85074518,sh85029027
sh85074518,sh85045198
sh85074518,sh85066289
sh85074518,sh85082693
sh85074518,sh85100821
sh95009376,sh85040850
sh95009376,sh85071088
sh85075351,sh85100163
sh85075480,sh85000155
sh85075520,sh85029421
sh85075520,sh85040989
sh85075292,sh85005581
sh85075292,sh85045195
sh85075141,sh85108472
sh85076841,sh85118553
sh85076844,sh85000155
sh85076844,sh85123970
sh85077053,sh85006246
sh2013002090,sh96000740
sh2013002090,sh2002000569
sh85077455,sh85042288
sh85077455,sh85048195
sh85077455,sh85125332
sh85029406,sh85074546
sh85034149,sh85077507
sh85034149,sh85113628
sh85077509,sh85001441
sh85077507,sh85100821
sh2011000728,sh85040430
sh2011000728,sh85040438
sh85078106,sh85067157
sh85078106,sh85100849
sh85078106,sh85108459
sh85078106,sh85118577
sh85078128,sh85085132
sh85079324,sh85008180
sh85079324,sh85079341
sh85079443,sh85040850
sh85079784,sh85049376
sh85079931,sh85079930
sh96010388,sh85149983
sh85080363,sh85080336
sh85080363,sh85107109
sh85081138,sh85006231
sh85081138,sh85081263
sh91005227,sh91002611
sh91005227,sh85081156
sh85081156,sh85006232
sh85081193,sh85054185
sh85081193,sh85093880
sh85081193,sh85129495
sh98000806,sh96010388
sh98000806,sh85081138
sh85081307,sh85005581
sh85081307,sh85045198
sh85081333,sh85065889
sh85081339,sh85018306
sh2006007647,sh85080664
sh2006007647,sh85107212
sh85081863,sh85029027
sh85082094,sh89005705
sh85082119,sh85005581
sh85082119,sh85005583
sh85014235,sh85014203
sh85014235,sh85082139
sh85082122,sh85006168
sh85082122,sh85066289
sh85082122,sh85077222
sh85003435,sh85078115
sh85082139,sh85118553
sh85082757,sh85043176
sh85082767,sh85101653
sh93001518,sh85082757
sh93001518,sh85084822
sh96010160,sh00007046
sh85082846,sh85030958
sh85082859,sh85005581
sh85037489,sh85083129
sh85037507,sh85037498
sh85037507,sh85064474
sh85082955,sh90001487
sh85082955,sh85083064
sh85082974,sh85083022
sh85082974,sh85084783
sh85083001,sh85014253
sh85083001,sh85101653
sh85083022,sh85076841
sh85134723,sh85083129
sh85083064,sh85062843
sh85083064,sh85076841
sh96000740,sh99001059
sh85084158,sh85096330
sh85084286,sh85100849
sh85084334,sh2018002590
sh2001008470,sh85118553
sh85084783,sh85014203
sh85084819,sh85040850
sh85084822,sh85042383
sh85084822,sh2001012575
sh85084822,sh85119903
sh85084862,sh85084334
sh85001371,sh85085132
sh85085207,sh85061211
sh85085207,sh85061212
sh85085264,sh85085207
sh85085264,sh85124228
sh85085264,sh85145114
sh85128514,sh85085132
sh85085589,sh85101560
sh85085712,sh85043176
sh85086422,sh85026864
sh85086422,sh85119004
sh85061236,sh85148201
sh85086577,sh85014171
sh85086577,sh85014253
sh2003004725,sh85086577
sh85087347,sh85004837
sh85087350,sh85087341
sh85087350,sh85101049
sh85088079,sh85134578
sh85088722,sh2021008605
sh85097089,sh85088762
sh85064678,sh85088806
sh85089188,sh85015976
sh85089188,sh85084783
sh2002000242,sh85118553
sh2017004703,sh2009116228
sh2017004703,sh85077224
sh88002425,sh85008180
sh88002425,sh85042288
sh88002425,sh88003229
sh88002425,sh2009007899
sh85090284,sh85031255
sh85090425,sh85077989
sh85090425,sh85095629
sh85091113,sh85004835
sh85091113,sh85091114
sh85091114,sh91006099
sh2005008805,sh91005166
sh2005008805,sh85040850
sh85091118,sh85043068
sh85091118,sh85091139
sh2021003848,sh85005162
sh2021003848,sh85091114
sh85091139,sh85083064
sh85091159,sh85091114
sh85091159,sh85101679
sh85091163,sh85091159
sh85091163,sh85108484
sh91006099,sh85083022
sh85092349,sh85082133
sh85082118,sh85086421
sh85092368,sh85029027
sh85092968,sh85043176
sh85092968,sh85093024
sh85093024,sh85101653
sh85093222,sh85003425
sh85093349,sh85082982
sh85093362,sh85020252
sh85093362,sh85083064
sh85093654,sh85100849
sh85093768,sh85083064
sh85093850,sh91000759
sh85093850,sh85101568
sh85093850,sh85108516
sh85093850,sh85134729
sh85093882,sh2021001476
sh85093937,sh85040468
sh85093937,sh85081263
sh85094813,sh85074523
sh85094813,sh85094812
sh85094833,sh85100849
sh85095071,sh85083064
sh85095181,sh85101653
sh85087992,sh85063519
sh85128280,sh85083064
sh85126460,sh85047940
sh85095299,sh85074518
sh85095299,sh85113628
sh85095299,sh85126460
sh85023022,sh85022986
sh85095524,sh85080336
sh85095524,sh85095521
sh85095524,sh85108476
sh85095524,sh85123994
sh91002392,sh85124200
sh86004134,sh85023022
sh85095726,sh85149983
sh85095770,sh85036953
sh85095770,sh85095799
sh85096050,sh85083064
sh85097061,sh85101552
sh2001004516,sh85005586
sh2001004516,sh85097123
sh2001004516,sh85101512
sh85097024,sh85014203
sh85097024,sh85097123
sh85097026,sh85015976
sh85097026,sh85097123
sh85097123,sh85061190
sh85097123,sh85149983
sh85097270,sh85015976
sh85097270,sh85097026
sh85097826,sh95008935
sh85097922,sh85014203
sh85025778,sh85134705
sh85098604,sh85025778
sh85098685,sh85083022
sh85099163,sh85093362
sh85023483,sh85023443
sh85099185,sh85083064
sh85099708,sh85027742
sh85099818,sh85008324
sh85099922,sh85036953
sh85100427,sh85085712
sh85100472,sh85101560
sh85100596,sh85039719
sh85100596,sh85082055
sh85100596,sh85100603
sh85100599,sh85083022
sh85100603,sh85022986
sh85100603,sh85083064
sh85100623,sh85014241
sh85102793,sh85014189
sh85102793,sh85100673
sh85102793,sh85142524
sh85100845,sh85026429
sh85100845,sh85076807
sh85100845,sh85094833
sh85100849,sh85062913
sh2002006356,sh99005065
sh89004340,sh85100849
sh85101053,sh85077222
sh85001264,sh85054037
sh85101288,sh85101274
sh85101288,sh85070736
sh85003477,sh85015976
sh85023027,sh85022986
sh85101517,sh85040989
sh85101552,sh85053986
sh85101560,sh85054037
sh91000759,sh85112401
sh2021001476,sh85093937
sh89005705,sh85118553
sh85101653,sh89005705
sh85101679,sh85014203
sh85101568,sh85083159
sh85101568,sh85134729
sh85015961,sh85014171
sh85015961,sh85015976
sh85101689,sh85014147
sh85101689,sh85015976
sh85101720,sh2003004721
sh85101722,sh85072117
sh85101747,sh85101788
sh88000316,sh85009003
sh88000316,sh85054037
sh85102652,sh85124544
sh85102696,sh85033827
sh85102696,sh85046278
sh85102696,sh85080336
sh85102696,sh85095521
sh85015978,sh85004835
sh85015978,sh85015976
sh85102720,sh85090284
sh85102720,sh85103025
sh85015985,sh85015976
sh85015985,sh85040752
sh88005635,sh91006274
sh88005635,sh85015985
sh88005635,sh85102796
sh85102745,sh85053877
sh85015992,sh85015976
sh85015992,sh85087347
sh85102732,sh85002385
sh85102796,sh85101679
sh85103704,sh85077507
sh85104345,sh85045198
sh85104345,sh85104440
sh85054025,sh85005570
sh85104425,sh85104440
sh85104425,sh85108459
sh85104425,sh85123994
sh85104440,sh85124003
sh85104457,sh85104440
sh85104457,sh85124200
sh85104920,sh85053877
sh85104920,sh85060367
sh85106058,sh85053766
sh85106058,sh85074574
sh85106058,sh85078115
sh85106058,sh85119877
sh85041077,sh87007854
sh85030965,sh85075119
sh85107212,sh85065864
sh85107212,sh85082757
sh85123160,sh90004091
sh85028378,sh85132964
sh85107313,sh85042288
sh85107313,sh85074581
sh85107319,sh85040989
sh85107319,sh85041014
sh85065919,sh85080336
sh85107437,sh85078115
sh85107496,sh85040850
sh85107552,sh85074545
sh85107552,sh85078106
sh86007375,sh85014120
sh86007375,sh85053855
sh85108376,sh85124049
sh85108381,sh85083185
sh85108410,sh85108501
sh85108410,sh85125363
sh85108411,sh85108459
sh85108427,sh85027067
sh85108427,sh85090925
sh85108427,sh85108448
sh85108432,sh85077222
sh85108432,sh85108459
sh85108459,sh85062843
sh85108459,sh85100849
sh85108459,sh85125350
sh85108485,sh85108487
sh85108485,sh85112549
sh85108490,sh85108448
sh85108490,sh85108464
sh85108490,sh85117919
sh86001417,sh85091127
sh85108479,sh85091139
sh85108498,sh85023041
sh85108498,sh85100599
sh85108484,sh85101679
sh85108484,sh85108425
sh85108516,sh85083651
sh85108611,sh85104440
sh85108638,sh85059518
sh85108638,sh87006649
sh85108696,sh85075119
sh2004003366,sh85029027
sh85108871,sh85015617
sh98001235,sh85072732
sh98001235,sh89004340
sh2021005718,sh85089048
sh95001341,sh85040999
sh85110385,sh85029044
sh85110385,sh85133270
sh85110774,sh85101653
sh85110872,sh85137069
sh85111355,sh85107090
sh85111355,sh85142090
sh85111357,sh85128181
sh85111362,sh93001294
sh85111362,sh2001000588
sh2001000752,sh2020000052
sh2001000752,sh85107813
sh85111662,sh85074546
sh85111945,sh85080593
sh92000704,sh85079324
sh92000704,sh85112459
sh94003448,sh85046441
sh85112953,sh85014203
sh85112953,sh85076810
sh85112953,sh85101679
sh85112953,sh85120560
sh85113628,sh85010030
sh88000877,sh85067347
sh85115899,sh85002484
sh85115899,sh85029215
sh85115899,sh85040804
sh85115899,sh85112367
sh85118622,sh85127474
sh85088064,sh85039316
sh85041082,sh85040989
sh85119634,sh85054185
sh2009007899,sh89003285
sh2009007899,sh85042288
sh2009007899,sh85119870
sh92004914,sh85008180
sh92004914,sh85066289
sh92004914,sh2009007899
sh85119870,sh85029301
sh85119870,sh85066289
sh85119870,sh85074518
sh85119870,sh85076359
sh85119870,sh85082693
sh85119950,sh85119870
sh85120145,sh85003425
sh85120145,sh85082139
sh2001004460,sh85054086
sh85120300,sh85060130
sh85120387,sh85082139
sh85120542,sh85061673
sh90004841,sh85118553
sh90004841,sh85124003
sh85052948,sh85044107
sh85052948,sh85101517
sh85122827,sh85088806
sh85123948,sh85061212
sh85123948,sh85124200
sh2006006990,sh2006007023
sh2006006990,sh87002172
sh2006006990,sh2015002635
sh2006006990,sh96008680
sh85123985,sh85123948
sh85123994,sh85062856
sh85123994,sh85108459
sh85123994,sh85123946
sh85123994,sh85124200
sh85124003,sh85026423
sh85124049,sh87006649
sh85124195,sh85074514
sh85124195,sh85077222
sh85124195,sh85124200
sh85124200,sh85124003
sh85041146,sh85124200
sh85072731,sh85029027
sh85072731,sh85072732
sh85072731,sh85108736
sh85072731,sh85124200
sh85124198,sh85071088
sh85124198,sh85124200
sh85112587,sh85124200
sh2015002635,sh85080326
sh2015002635,sh85133169
sh85029534,sh98003200
sh87007398,sh85043176
sh85029538,sh85029532
sh85124299,sh85107310
sh85124376,sh85002415
sh85124376,sh85040468
sh85124636,sh85023027
sh85125363,sh85031576
sh85125363,sh85082129
sh85125363,sh85101653
sh85125363,sh85103619
sh85125363,sh85110340
sh85125363,sh85145785
sh85096159,sh85008947
sh85096159,sh85067491
sh85096159,sh85080584
sh85125953,sh85033169
sh85125953,sh85118553
sh85046212,sh85040989
sh85126434,sh85074518
sh85126441,sh85074574
sh85126441,sh85077222
sh85126441,sh85126434
sh85126887,sh85111945
sh85126948,sh85083064
sh85126948,sh86000064
sh86000064,sh85101517
sh86000064,sh85118553
sh85127580,sh85082139
sh85128181,sh85107090
sh85054086,sh85101560
sh85128566,sh85051944
sh85129198,sh85006611
sh85129198,sh85043176
sh94008290,sh85079324
sh85018306,sh85065889
sh85018306,sh85078128
sh00000385,sh85023027
sh85130766,sh85083064
sh85130857,sh85043176
sh85130976,sh85146326
sh85131750,sh85043176
sh85131750,sh85065864
sh85131750,sh85131733
sh85132964,sh85118321
sh85133147,sh85118553
sh85133184,sh85043106
sh85133184,sh85118622
sh85133270,sh85029027
sh85133270,sh85066289
sh94009175,sh85042722
sh94009175,sh85098685
sh85034152,sh85040970
sh99001177,sh85005581
sh85134522,sh85099818
sh85039340,sh85034149
sh85134614,sh85100163
sh85134776,sh85014203
sh85136077,sh85085194
sh85136077,sh85130857
sh85136089,sh85054133
sh85136089,sh85104647
sh85136089,sh85120387
sh85136092,sh85076357
sh85028901,sh85040850
sh85136742,sh85136505
sh85136958,sh85074518
sh85136958,sh85136974
sh85137069,sh85026331
sh85137069,sh85043176
sh2002008688,sh85146326
sh85138061,sh85027048
sh85138061,sh85083064
sh85139563,sh85111790
sh85141310,sh85040850
sh85026282,sh85074348
sh85026282,sh85102696
sh85141451,sh85083064
sh85141939,sh85001441
sh85141939,sh85072732
sh85141939,sh85084286
sh85141939,sh85108459
sh87003044,sh85006232
sh85143046,sh85083064
sh85143544,sh85129122
sh85143555,sh85143613
sh85143799,sh85084783
sh93005976,sh85045198
sh85007461,sh85008324
sh85143917,sh85029027
sh85144017,sh85052162
sh85144279,sh85113021
sh2005004309,sh85063458
sh85145748,sh93001294
sh98004795,sh96009904
sh96008680,sh95000713
sh85146011,sh85084098
sh85146012,sh85050766
sh85146012,sh85080664
sh85146012,sh85084093
sh85146012,sh85119312
sh85146325,sh85090284
sh85146326,sh85040752
sh85146731,sh85031255
sh85146731,sh85090284
sh96005596,sh85090254
sh96005596,sh85149996
sh92006740,sh85133301
sh90004091,sh85080623
sh85148201,sh85061212
sh85005230,sh85006509
sh85005230,sh85015539
sh85149983,sh85014203
sh85149983,sh85090222
